club;color 1;color 2
Arsenal;#DB0007;#012F73
Bournemouth;#CF1F45;#000000;
Brighton;#015DAA;
Burnley;#8BCBEE;#731E3F
Chelsea;#1F476A;
Crystal Palace;#1E4A91;#BD1632
Huddersfield;#69859B;#F0CB25
Leicester;#0E4B8C;
Liverpool;#CD0027;#03A095
Manchester City;#7DB7DF;#F4BC4F
Manchester United;#E4331F;#000000
Newcastle;#231F20;#F9FBF8
Southampton;#EC1B3B;#000000
Stoke City;#E3393A;#1F4596
Swansea;#FDFDFD;
Tottenham;#011B58
Watford;#FDED26;#040000
West Bromwich;#FEFEFC;

club;color 1;color 2
Bayern Munich;#ED1248;#5A89CB
Werder Breme;#1D9053;
Hanovre;#179D33;#000000
Dortmund;#FFFF00;#000000
Hoffenheim;#00559E
M̦nchengladbach;#000000;
Hamburger;#0A3F86;
Schalke 04;#0060A9;
Freiburg;#000000;
Worlfsburg;#449C2B;

club;color 1;color 2
AC Milan;#DF1624;#000000
AS Roma;#902A1C;#E75414
Atalanta;#1B171B;#046AB4
Bologna;#152A83;#DB2217
Fiorentina;#7C277C;
Genoa;#04295A;#D92B33
Verona;#FCEC04;#152A83
Inter Milan;#055387;#1C170C
Lazio;#91D2F4;
Napoli;#1592D4;#04569D
Sassuolo;#04A652;#000000
Juventus;#030204;
Torino;#73181B;
