Player,Apps,Mins,TotalShots,TotalGoals,SuccessfulDribbles,Assists,TacklesWon,Interceptions,Fouled,Offsides,AccuratePasses
Alexis Sánchez,7,595,"3,8","0,9","3,5","0,2","1,7","0,9","2,9","0,6","32,4"
Kevin De Bruyne,11,930,"2,7","0,1",2,"0,5","1,4","1,1","1,8","0,1",40
Eden Hazard,10,837,"2,4","0,5","2,6","0,1","0,8","1,1","2,8","0,3","42,7"
Christian Eriksen,13,1163,"3,7","0,3",1,"0,4","1,1","0,4","0,5","0,1","47,3"
Dele Alli,29,2522,"2,6","0,5","1,5","0,2","1,6","0,4","2,4","0,3","32,2"
Mesut Özil,32,2831,"1,3","0,3","0,9","0,3","0,8","0,5",1,"0,6","57,6"
Joshua King,16,1344,"2,5","0,6","2,7",0,"1,6","0,5","1,3","0,1","18,1"
Dimitri Payet,7,613,"2,8",0,"2,1","0,1","0,1","0,4","2,2",0,"33,2"
Juan Mata,6,440,"2,7","0,2","0,4","0,4","0,2","0,8","0,8",0,"48,2"
Gylfi Sigurdsson,12,1048,"3,3","0,3","0,9","0,3","1,1","0,9","0,5",0,25
Manuel Lanzini,15,1208,"2,5","0,4","2,4",0,"1,6","1,2",1,"0,1","45,3"
Pedro,6,507,"2,5","0,2","2,1",0,"1,2","0,9","1,2","0,2","30,2"
David Silva,11,953,"1,4",0,"0,8","0,3","1,5","0,5","1,6","0,1","56,3"
Wayne Rooney,7,598,"2,6","0,3","0,6","0,3","1,1","0,6","0,5","0,5","36,5"
Jason Puncheon,16,1396,"1,2",0,1,"0,1","1,9",1,"1,2",0,"32,4"
Gastón Ramírez,7,513,"1,8","0,2","2,6","0,2",3,"0,9","1,8","0,2","26,8"
Joe Allen,20,1707,"1,6","0,3","0,7","0,1","2,2","1,5",2,0,29
Jack Wilshere,13,1105,"1,5",0,"2,6","0,1","0,6","0,4","1,9",0,"37,7"
Dusan Tadic,19,1540,"2,8","0,1","1,5","0,2","0,6","0,8","1,3","0,1",32
Nacer Chadli,6,450,"1,8","0,8","0,2","0,4",1,1,"0,6","0,2","21,8"
Xherdan Shaqiri,6,476,"2,1","0,2","1,1","0,2","0,9","0,2","1,9","0,4","23,4"
James Morrison,15,1245,"1,2","0,4","0,9","0,1","1,4","0,9","0,8","0,1","31,3"
Ross Barkley,14,1175,"2,5","0,2","1,5","0,2","0,9","0,2","1,1","0,3","37,6"
Yohan Cabaye,6,470,"3,6","0,2","0,8",0,"1,9","2,3","1,3",0,"40,8"
André Ayew,7,542,"1,7","0,3","1,2","0,2","1,3","0,5","1,3","0,5","20,5"
Robert Snodgrass,6,534,"1,7","0,3","0,7","0,2","0,7","0,2","1,5","0,3","32,5"
Adnan Januzaj,9,725,"0,7",0,"2,5","0,2","0,5","0,1","2,4","0,2","14,3"
Evandro,6,418,"0,4",0,"0,4",0,"2,8","0,6","3,4",0,"33,8"