Pos,Team,Pts,W,D,L,F,A
1,Manchester City,62,20,2,0,64,13
2,Manchester United,47,14,5,3,45,16
3,Liverpool,47,13,8,2,54,28
4,Chelsea,47,14,5,4,41,16
5,Tottenham Hotspur,44,13,5,5,46,21
6,Arsenal,39,11,6,6,41,30
7,Burnley,34,9,7,7,19,20
8,Leicester City,31,8,7,8,34,32
9,Everton,27,7,6,10,25,38
10,Watford,26,7,5,11,33,42
11,West Ham United,25,6,7,10,29,41
12,Crystal Palace,25,6,7,10,21,33
13,AFC Bournemouth,24,6,6,11,24,35
14,Huddersfield Town,24,6,6,11,19,39
15,Newcastle United,23,6,5,12,21,31
16,Brighton & Hove Albion,23,5,8,10,17,29
17,Southampton,21,4,9,10,23,34
18,Stoke City,20,5,5,13,23,50
19,West Bromwich Albion,19,3,10,10,18,30
20,Swansea City,17,4,5,14,14,35