Position,Age,End,Start,Value,Team,League
Keeper,24,30/06/2019,30/06/2018,2250000,Juventus Turin,Serie A
Keeper,26,30/06/2019,30/06/2018,900000,Juventus Turin,Serie A
Keeper,23,30/06/2020,30/06/2018,540000,Juventus Turin,Serie A
Keeper,20,30/06/2021,30/06/2018,450000,Juventus Turin,Serie A
Keeper,27,30/06/2018,30/06/2018,158000,Juventus Turin,Serie A
Keeper,25,30/06/2018,30/06/2018,45000,Juventus Turin,Serie A
Defender,23,30/06/2021,30/06/2018,13500000,Juventus Turin,Serie A
Defender,22,30/06/2022,30/06/2018,540000,Juventus Turin,Serie A
Defender,22,NA,30/06/2018,495000,Juventus Turin,Serie A
Defender,20,30/06/2018,30/06/2018,90000,Juventus Turin,Serie A
Defender,19,30/06/2019,30/06/2018,68000,Juventus Turin,Serie A
Defender,19,NA,30/06/2018,68000,Juventus Turin,Serie A
Defender,19,30/06/2018,30/06/2018,68000,Juventus Turin,Serie A
Defender,19,30/06/2020,30/06/2018,810000,Juventus Turin,Serie A
Defender,22,30/06/2019,30/06/2018,203000,Juventus Turin,Serie A
Defender,19,30/06/2018,30/06/2018,90000,Juventus Turin,Serie A
Defender,18,NA,30/06/2018,68000,Juventus Turin,Serie A
Defender,20,30/06/2020,30/06/2018,68000,Juventus Turin,Serie A
Defender,24,30/06/2018,30/06/2018,45000,Juventus Turin,Serie A
Defender,20,30/06/2020,30/06/2018,3600000,Juventus Turin,Serie A
Defender,23,30/06/2019,30/06/2018,900000,Juventus Turin,Serie A
Defender,22,30/06/2019,30/06/2018,360000,Juventus Turin,Serie A
Defender,18,NA,30/06/2018,23000,Juventus Turin,Serie A
Midfield,29,30/06/2020,30/06/2018,7200000,Juventus Turin,Serie A
Midfield,20,30/06/2021,30/06/2018,2700000,Juventus Turin,Serie A
Midfield,27,30/06/2019,30/06/2018,1800000,Juventus Turin,Serie A
Midfield,21,30/06/2018,30/11/2017,180000,Juventus Turin,Serie A
Midfield,19,NA,30/06/2018,90000,Juventus Turin,Serie A
Midfield,19,NA,30/06/2018,23000,Juventus Turin,Serie A
Midfield,21,30/06/2019,30/06/2018,810000,Juventus Turin,Serie A
Midfield,19,30/06/2019,30/06/2018,540000,Juventus Turin,Serie A
Midfield,20,30/06/2019,30/06/2018,450000,Juventus Turin,Serie A
Midfield,24,NA,30/06/2018,7200000,Juventus Turin,Serie A
Midfield,19,30/06/2019,30/06/2018,630000,Juventus Turin,Serie A
Midfield,20,30/06/2019,30/06/2018,540000,Juventus Turin,Serie A
Midfield,19,30/06/2020,30/06/2018,315000,Juventus Turin,Serie A
Midfield,19,30/06/2020,30/06/2018,180000,Juventus Turin,Serie A
Midfield,24,30/06/2020,30/06/2018,135000,Juventus Turin,Serie A
Midfield,20,NA,30/06/2018,45000,Juventus Turin,Serie A
Midfield,20,30/06/2021,30/06/2019,3150000,Juventus Turin,Serie A
Midfield,19,NA,30/06/2018,450000,Juventus Turin,Serie A
Forward,21,NA,30/06/2018,135000,Juventus Turin,Serie A
Forward,19,NA,30/06/2018,45000,Juventus Turin,Serie A
Forward,21,30/06/2020,30/06/2018,2250000,Juventus Turin,Serie A
Forward,17,30/06/2020,30/06/2018,1350000,Juventus Turin,Serie A
Forward,24,30/06/2018,30/06/2018,675000,Juventus Turin,Serie A
Forward,21,30/06/2019,30/06/2018,248000,Juventus Turin,Serie A
Forward,23,30/06/2019,30/06/2018,225000,Juventus Turin,Serie A
Forward,23,30/06/2018,30/06/2018,203000,Juventus Turin,Serie A
Forward,23,30/06/2019,30/06/2018,90000,Juventus Turin,Serie A
Forward,20,30/06/2018,30/06/2018,90000,Juventus Turin,Serie A
Forward,20,30/06/2019,30/06/2018,90000,Juventus Turin,Serie A
Keeper,25,30/06/2020,30/06/2018,5400000,Atalanta,Serie A
Keeper,21,30/06/2019,30/06/2018,720000,Atalanta,Serie A
Keeper,22,NA,30/06/2018,203000,Atalanta,Serie A
Keeper,23,NA,30/06/2018,180000,Atalanta,Serie A
Keeper,20,NA,30/06/2018,158000,Atalanta,Serie A
Keeper,21,NA,30/06/2018,113000,Atalanta,Serie A
Keeper,18,NA,30/06/2018,68000,Atalanta,Serie A
Keeper,18,NA,30/06/2018,68000,Atalanta,Serie A
Defender,24,30/06/2019,30/06/2018,630000,Atalanta,Serie A
Defender,24,30/06/2020,30/06/2018,450000,Atalanta,Serie A
Defender,18,NA,30/06/2018,270000,Atalanta,Serie A
Defender,21,30/06/2018,30/06/2018,270000,Atalanta,Serie A
Defender,32,30/06/2018,30/06/2018,203000,Atalanta,Serie A
Defender,24,NA,30/06/2018,203000,Atalanta,Serie A
Defender,21,NA,30/06/2018,135000,Atalanta,Serie A
Defender,23,NA,30/06/2018,135000,Atalanta,Serie A
Defender,22,NA,30/06/2018,90000,Atalanta,Serie A
Defender,20,NA,30/06/2018,90000,Atalanta,Serie A
Defender,20,NA,30/06/2018,68000,Atalanta,Serie A
Defender,19,NA,30/06/2018,45000,Atalanta,Serie A
Defender,22,NA,30/06/2018,360000,Atalanta,Serie A
Defender,21,30/06/2020,30/06/2018,270000,Atalanta,Serie A
Defender,19,NA,30/06/2018,158000,Atalanta,Serie A
Defender,24,NA,30/06/2018,405000,Atalanta,Serie A
Defender,24,30/06/2019,30/06/2018,270000,Atalanta,Serie A
Defender,20,NA,30/06/2018,135000,Atalanta,Serie A
Defender,23,NA,30/06/2018,90000,Atalanta,Serie A
Defender,21,NA,30/06/2018,68000,Atalanta,Serie A
Defender,19,30/06/2020,30/06/2018,45000,Atalanta,Serie A
Midfield,24,NA,30/06/2018,225000,Atalanta,Serie A
Midfield,20,NA,30/06/2018,113000,Atalanta,Serie A
Midfield,22,NA,30/06/2018,45000,Atalanta,Serie A
Midfield,23,NA,30/06/2018,675000,Atalanta,Serie A
Midfield,20,30/06/2022,30/06/2018,540000,Atalanta,Serie A
Midfield,21,NA,30/06/2018,540000,Atalanta,Serie A
Midfield,23,NA,30/06/2018,248000,Atalanta,Serie A
Midfield,21,NA,30/06/2018,225000,Atalanta,Serie A
Midfield,20,NA,30/06/2018,180000,Atalanta,Serie A
Midfield,23,NA,30/06/2018,90000,Atalanta,Serie A
Midfield,20,NA,30/06/2018,45000,Atalanta,Serie A
Midfield,25,30/06/2018,30/06/2018,630000,Atalanta,Serie A
Midfield,22,NA,30/06/2018,315000,Atalanta,Serie A
Midfield,20,30/06/2021,30/06/2018,1350000,Atalanta,Serie A
Midfield,21,NA,30/06/2018,68000,Atalanta,Serie A
Midfield,26,30/06/2019,30/06/2018,1350000,Atalanta,Serie A
Midfield,20,NA,30/06/2018,270000,Atalanta,Serie A
Forward,28,NA,30/06/2018,450000,Atalanta,Serie A
Forward,27,30/06/2021,30/06/2018,3600000,Atalanta,Serie A
Forward,23,30/06/2019,30/06/2018,585000,Atalanta,Serie A
Forward,18,NA,NA,315000,Atalanta,Serie A
Forward,19,NA,30/06/2018,270000,Atalanta,Serie A
Forward,21,NA,30/06/2018,90000,Atalanta,Serie A
Defender,19,NA,30/06/2018,90000,Benevento,Serie A
Keeper,25,30/06/2019,30/06/2018,315000,Bologna,Serie A
Keeper,20,30/06/2020,30/06/2018,68000,Bologna,Serie A
Keeper,19,NA,30/06/2018,23000,Bologna,Serie A
Defender,24,30/06/2020,30/06/2018,1620000,Bologna,Serie A
Defender,23,30/06/2021,30/06/2018,1080000,Bologna,Serie A
Defender,22,30/06/2021,30/06/2018,270000,Bologna,Serie A
Midfield,31,30/06/2020,30/12/2017,2700000,Bologna,Serie A
Midfield,25,30/06/2019,30/06/2018,2250000,Bologna,Serie A
Midfield,19,NA,30/06/2018,68000,Bologna,Serie A
Midfield,25,30/06/2019,30/06/2018,1980000,Bologna,Serie A
Midfield,24,NA,30/06/2018,180000,Bologna,Serie A
Midfield,19,NA,30/06/2018,180000,Bologna,Serie A
Forward,21,30/06/2019,30/06/2018,68000,Bologna,Serie A
Keeper,17,NA,30/06/2018,45000,Cagliari,Serie A
Keeper,20,30/06/2018,30/06/2018,45000,Cagliari,Serie A
Defender,23,30/06/2019,30/06/2018,1620000,Cagliari,Serie A
Defender,26,30/06/2020,30/06/2018,1440000,Cagliari,Serie A
Defender,19,30/06/2018,30/06/2018,68000,Cagliari,Serie A
Defender,20,30/06/2020,30/06/2018,90000,Cagliari,Serie A
Defender,19,NA,30/06/2018,45000,Cagliari,Serie A
Midfield,20,30/06/2020,30/06/2018,630000,Cagliari,Serie A
Midfield,20,NA,30/06/2018,113000,Cagliari,Serie A
Midfield,24,30/06/2019,30/06/2018,315000,Cagliari,Serie A
Midfield,18,NA,30/06/2018,158000,Cagliari,Serie A
Midfield,19,NA,NA,90000,Cagliari,Serie A
Forward,19,30/06/2020,30/06/2018,450000,Cagliari,Serie A
Forward,21,30/06/2018,30/06/2018,360000,Cagliari,Serie A
Keeper,23,30/06/2019,30/06/2018,135000,Chievo,Serie A
Keeper,20,NA,30/06/2018,23000,Chievo,Serie A
Defender,21,NA,30/06/2018,1080000,Chievo,Serie A
Defender,26,30/06/2020,30/06/2018,270000,Chievo,Serie A
Defender,21,NA,30/06/2018,45000,Chievo,Serie A
Defender,22,30/06/2020,30/06/2018,23000,Chievo,Serie A
Defender,21,NA,30/06/2018,23000,Chievo,Serie A
Defender,21,30/06/2018,30/06/2018,225000,Chievo,Serie A
Defender,24,NA,30/06/2018,203000,Chievo,Serie A
Defender,21,NA,30/06/2018,180000,Chievo,Serie A
Defender,19,NA,30/06/2018,90000,Chievo,Serie A
Defender,19,NA,30/06/2018,45000,Chievo,Serie A
Midfield,27,30/06/2019,30/06/2018,540000,Chievo,Serie A
Midfield,21,NA,30/06/2018,540000,Chievo,Serie A
Midfield,19,NA,30/06/2018,360000,Chievo,Serie A
Midfield,23,NA,30/06/2018,225000,Chievo,Serie A
Midfield,21,NA,30/06/2018,203000,Chievo,Serie A
Midfield,33,NA,30/06/2018,158000,Chievo,Serie A
Midfield,21,NA,30/06/2018,113000,Chievo,Serie A
Midfield,22,NA,30/06/2018,180000,Chievo,Serie A
Midfield,21,NA,30/06/2018,293000,Chievo,Serie A
Midfield,25,NA,30/06/2018,270000,Chievo,Serie A
Midfield,21,30/06/2020,30/06/2020,450000,Chievo,Serie A
Midfield,19,30/06/2021,30/06/2018,45000,Chievo,Serie A
Forward,26,NA,30/06/2018,540000,Chievo,Serie A
Forward,34,30/06/2019,30/06/2018,450000,Chievo,Serie A
Forward,23,NA,30/06/2018,293000,Chievo,Serie A
Forward,19,30/06/2020,30/06/2018,180000,Chievo,Serie A
Forward,21,30/06/2020,30/06/2018,90000,Chievo,Serie A
Defender,25,30/06/2019,30/06/2018,900000,Crotone,Serie A
Defender,21,NA,30/06/2018,113000,Crotone,Serie A
Defender,21,30/06/2018,30/06/2018,90000,Crotone,Serie A
Defender,20,NA,30/06/2018,23000,Crotone,Serie A
Defender,18,30/06/2019,30/06/2018,158000,Crotone,Serie A
Defender,21,30/06/2018,30/06/2018,203000,Crotone,Serie A
Midfield,17,NA,30/06/2018,23000,Crotone,Serie A
Midfield,24,30/06/2018,30/06/2018,225000,Crotone,Serie A
Midfield,26,30/06/2019,30/06/2018,720000,Crotone,Serie A
Midfield,21,NA,30/06/2018,68000,Crotone,Serie A
Defender,30,30/06/2020,30/06/2018,2970000,Fiorentina,Serie A
Defender,18,NA,NA,-,Fiorentina,Serie A
Defender,21,30/06/2019,30/06/2018,135000,Fiorentina,Serie A
Defender,20,30/06/2021,30/06/2018,1350000,Fiorentina,Serie A
Defender,22,30/06/2021,30/06/2018,900000,Fiorentina,Serie A
Defender,24,30/06/2020,31/12/2017,630000,Fiorentina,Serie A
Midfield,23,30/06/2020,30/06/2018,270000,Fiorentina,Serie A
Midfield,20,30/06/2021,30/06/2018,630000,Fiorentina,Serie A
Midfield,19,30/06/2020,30/06/2018,540000,Fiorentina,Serie A
Midfield,25,30/06/2018,30/06/2018,315000,Fiorentina,Serie A
Midfield,21,NA,30/06/2018,113000,Fiorentina,Serie A
Midfield,24,30/06/2018,30/06/2018,2250000,Fiorentina,Serie A
Midfield,22,30/06/2020,30/06/2018,810000,Fiorentina,Serie A
Midfield,20,NA,30/06/2018,203000,Fiorentina,Serie A
Midfield,19,30/06/2019,30/06/2018,180000,Fiorentina,Serie A
Midfield,19,NA,30/06/2018,113000,Fiorentina,Serie A
Forward,18,NA,30/06/2018,495000,Fiorentina,Serie A
Forward,18,NA,30/06/2018,135000,Fiorentina,Serie A
Keeper,22,NA,30/06/2018,68000,Genoa,Serie A
Defender,23,NA,30/06/2018,540000,Genoa,Serie A
Defender,21,NA,30/06/2018,45000,Genoa,Serie A
Defender,29,30/06/2018,30/06/2018,720000,Genoa,Serie A
Defender,24,30/06/2019,30/06/2018,900000,Genoa,Serie A
Defender,19,30/06/2019,30/06/2018,113000,Genoa,Serie A
Midfield,25,30/06/2020,30/06/2018,3150000,Genoa,Serie A
Midfield,19,NA,30/06/2018,158000,Genoa,Serie A
Midfield,19,NA,30/06/2018,113000,Genoa,Serie A
Midfield,19,NA,30/06/2018,90000,Genoa,Serie A
Midfield,19,NA,30/06/2018,90000,Genoa,Serie A
Midfield,20,NA,30/06/2018,68000,Genoa,Serie A
Midfield,19,NA,30/06/2018,45000,Genoa,Serie A
Midfield,20,30/06/2019,30/06/2018,270000,Genoa,Serie A
Midfield,19,NA,30/06/2018,45000,Genoa,Serie A
Midfield,22,30/06/2021,30/06/2018,720000,Genoa,Serie A
Midfield,19,30/06/2019,30/06/2018,68000,Genoa,Serie A
Midfield,21,30/06/2021,30/06/2018,1980000,Genoa,Serie A
Midfield,22,30/06/2019,30/06/2018,900000,Genoa,Serie A
Midfield,23,NA,31/05/2018,225000,Genoa,Serie A
Midfield,23,NA,30/06/2018,765000,Genoa,Serie A
Midfield,19,NA,30/06/2018,113000,Genoa,Serie A
Midfield,22,NA,30/06/2018,68000,Genoa,Serie A
Midfield,20,30/06/2020,30/06/2018,45000,Genoa,Serie A
Forward,20,NA,30/06/2018,540000,Genoa,Serie A
Forward,19,30/06/2020,30/06/2018,225000,Genoa,Serie A
Forward,22,NA,30/06/2018,113000,Genoa,Serie A
Keeper,21,30/06/2019,30/06/2018,23000,Verona,Serie A
Defender,26,30/06/2020,30/06/2018,675000,Verona,Serie A
Defender,19,30/06/2020,30/06/2018,113000,Verona,Serie A
Defender,21,NA,30/06/2018,90000,Verona,Serie A
Defender,19,30/06/2020,30/06/2018,180000,Verona,Serie A
Defender,21,NA,30/06/2018,68000,Verona,Serie A
Defender,19,NA,30/06/2018,113000,Verona,Serie A
Midfield,25,30/06/2020,30/06/2018,3150000,Verona,Serie A
Midfield,20,30/06/2020,30/06/2018,180000,Verona,Serie A
Midfield,20,30/06/2019,30/06/2018,45000,Verona,Serie A
Midfield,19,NA,30/06/2018,45000,Verona,Serie A
Forward,25,30/06/2019,30/06/2019,540000,Verona,Serie A
Forward,21,NA,30/06/2018,270000,Verona,Serie A
Forward,19,NA,30/06/2018,158000,Verona,Serie A
Keeper,25,30/06/2019,30/06/2018,3150000,Inter Milan,Serie A
Keeper,23,NA,30/06/2018,1620000,Inter Milan,Serie A
Keeper,20,30/06/2020,30/06/2018,270000,Inter Milan,Serie A
Keeper,20,30/06/2020,30/06/2018,135000,Inter Milan,Serie A
Keeper,21,NA,30/06/2018,68000,Inter Milan,Serie A
Defender,18,30/06/2022,30/06/2019,1350000,Inter Milan,Serie A
Defender,19,NA,30/06/2018,90000,Inter Milan,Serie A
Defender,20,30/06/2018,30/06/2018,45000,Inter Milan,Serie A
Defender,21,30/06/2018,30/06/2018,45000,Inter Milan,Serie A
Defender,19,30/06/2020,30/06/2018,113000,Inter Milan,Serie A
Defender,23,30/06/2018,30/06/2018,225000,Inter Milan,Serie A
Defender,19,NA,30/06/2018,113000,Inter Milan,Serie A
Midfield,20,30/06/2018,30/06/2018,90000,Inter Milan,Serie A
Midfield,24,30/06/2021,30/06/2018,16200000,Inter Milan,Serie A
Midfield,21,30/06/2021,30/06/2021,540000,Inter Milan,Serie A
Midfield,20,NA,30/06/2018,225000,Inter Milan,Serie A
Midfield,19,NA,NA,135000,Inter Milan,Serie A
Midfield,21,30/06/2018,30/06/2018,68000,Inter Milan,Serie A
Midfield,24,NA,30/06/2018,68000,Inter Milan,Serie A
Midfield,23,30/06/2019,30/06/2018,360000,Inter Milan,Serie A
Midfield,21,30/06/2021,30/06/2018,13500000,Inter Milan,Serie A
Midfield,29,30/06/2019,30/06/2018,3600000,Inter Milan,Serie A
Midfield,21,30/06/2018,30/06/2018,360000,Inter Milan,Serie A
Midfield,19,30/06/2022,30/06/2018,315000,Inter Milan,Serie A
Midfield,19,30/06/2021,30/06/2018,135000,Inter Milan,Serie A
Forward,19,NA,30/06/2018,270000,Inter Milan,Serie A
Forward,22,30/06/2018,30/06/2018,45000,Inter Milan,Serie A
Forward,21,30/06/2020,30/06/2018,1350000,Inter Milan,Serie A
Forward,25,30/06/2020,30/06/2018,1080000,Inter Milan,Serie A
Forward,20,30/06/2020,30/06/2018,810000,Inter Milan,Serie A
Forward,24,30/06/2020,30/06/2018,450000,Inter Milan,Serie A
Forward,20,30/06/2020,30/06/2018,180000,Inter Milan,Serie A
Keeper,19,NA,30/06/2018,45000,Lazio,Serie A
Defender,20,30/06/2022,30/06/2018,360000,Lazio,Serie A
Defender,22,30/06/2019,30/06/2018,180000,Lazio,Serie A
Midfield,23,30/06/2020,30/06/2018,5400000,Lazio,Serie A
Midfield,21,30/06/2019,30/06/2018,630000,Lazio,Serie A
Midfield,24,30/06/2019,30/06/2018,315000,Lazio,Serie A
Midfield,22,30/06/2019,30/06/2018,2700000,Lazio,Serie A
Midfield,22,30/06/2022,30/06/2018,630000,Lazio,Serie A
Midfield,20,30/06/2018,30/06/2018,360000,Lazio,Serie A
Midfield,19,30/06/2020,30/06/2018,113000,Lazio,Serie A
Forward,20,30/06/2020,30/06/2018,225000,Lazio,Serie A
Keeper,17,30/06/2020,30/06/2018,270000,AC Milan,Serie A
Defender,22,30/06/2020,30/06/2018,630000,AC Milan,Serie A
Defender,19,NA,NA,68000,AC Milan,Serie A
Defender,19,30/06/2021,30/06/2019,450000,AC Milan,Serie A
Midfield,26,30/06/2019,30/06/2018,9000000,AC Milan,Serie A
Midfield,32,30/06/2018,15/01/2018,4500000,AC Milan,Serie A
Midfield,21,NA,30/06/2018,135000,AC Milan,Serie A
Forward,31,30/06/2020,30/06/2018,16200000,AC Milan,Serie A
Keeper,21,30/06/2019,30/06/2018,113000,Napoli,Serie A
Defender,21,NA,30/06/2018,900000,Napoli,Serie A
Defender,22,30/06/2021,30/06/2018,180000,Napoli,Serie A
Defender,20,30/06/2019,30/06/2018,45000,Napoli,Serie A
Defender,21,NA,30/06/2018,113000,Napoli,Serie A
Midfield,21,30/06/2019,30/06/2018,135000,Napoli,Serie A
Midfield,22,30/06/2020,30/06/2018,2880000,Napoli,Serie A
Midfield,21,NA,30/06/2018,225000,Napoli,Serie A
Midfield,21,NA,30/06/2018,135000,Napoli,Serie A
Midfield,21,30/06/2022,30/06/2018,270000,Napoli,Serie A
Midfield,23,30/06/2020,30/06/2018,630000,Napoli,Serie A
Midfield,20,30/06/2019,30/06/2018,360000,Napoli,Serie A
Midfield,19,30/06/2019,30/06/2018,180000,Napoli,Serie A
Forward,25,NA,30/06/2018,4050000,Napoli,Serie A
Forward,19,30/06/2021,30/06/2018,405000,Napoli,Serie A
Keeper,19,30/06/2019,30/06/2018,90000,AS Roma,Serie A
Defender,30,30/06/2019,30/06/2018,3150000,AS Roma,Serie A
Defender,25,30/06/2019,30/06/2018,900000,AS Roma,Serie A
Defender,21,NA,30/06/2018,630000,AS Roma,Serie A
Defender,21,30/06/2020,30/06/2018,450000,AS Roma,Serie A
Defender,26,30/06/2021,30/06/2018,6300000,AS Roma,Serie A
Defender,21,30/06/2019,30/06/2018,180000,AS Roma,Serie A
Defender,19,NA,30/06/2018,225000,AS Roma,Serie A
Defender,20,NA,30/06/2018,135000,AS Roma,Serie A
Defender,19,NA,30/06/2018,68000,AS Roma,Serie A
Midfield,20,NA,30/06/2018,180000,AS Roma,Serie A
Midfield,21,30/06/2019,30/06/2018,135000,AS Roma,Serie A
Midfield,23,NA,30/06/2018,450000,AS Roma,Serie A
Midfield,20,NA,30/06/2018,315000,AS Roma,Serie A
Midfield,19,30/06/2020,30/06/2018,158000,AS Roma,Serie A
Midfield,19,NA,30/06/2018,135000,AS Roma,Serie A
Midfield,22,30/06/2020,30/06/2018,90000,AS Roma,Serie A
Midfield,20,NA,30/06/2018,158000,AS Roma,Serie A
Midfield,24,NA,30/06/2018,158000,AS Roma,Serie A
Midfield,24,30/06/2019,30/06/2018,6300000,AS Roma,Serie A
Midfield,21,30/06/2020,30/06/2018,1350000,AS Roma,Serie A
Midfield,21,30/06/2019,30/06/2018,315000,AS Roma,Serie A
Midfield,22,NA,30/06/2018,90000,AS Roma,Serie A
Forward,20,30/06/2020,30/06/2018,2250000,AS Roma,Serie A
Forward,20,30/06/2020,30/06/2018,1800000,AS Roma,Serie A
Forward,19,NA,NA,315000,AS Roma,Serie A
Forward,18,30/06/2022,30/06/2018,315000,AS Roma,Serie A
Forward,19,NA,30/06/2018,45000,AS Roma,Serie A
Keeper,22,30/06/2020,30/06/2018,135000,Sampdoria,Serie A
Defender,21,30/06/2021,30/06/2018,900000,Sampdoria,Serie A
Defender,19,NA,30/06/2018,113000,Sampdoria,Serie A
Defender,20,NA,NA,90000,Sampdoria,Serie A
Defender,19,NA,30/06/2018,45000,Sampdoria,Serie A
Defender,21,NA,30/06/2018,23000,Sampdoria,Serie A
Midfield,19,NA,NA,225000,Sampdoria,Serie A
Midfield,21,30/06/2020,30/06/2018,540000,Sampdoria,Serie A
Midfield,21,NA,30/06/2018,450000,Sampdoria,Serie A
Midfield,19,30/06/2019,30/06/2018,293000,Sampdoria,Serie A
Midfield,20,NA,30/06/2018,113000,Sampdoria,Serie A
Midfield,20,30/06/2018,30/06/2018,90000,Sampdoria,Serie A
Midfield,22,NA,30/06/2018,135000,Sampdoria,Serie A
Forward,21,30/06/2020,30/06/2022,13500000,Sampdoria,Serie A
Forward,20,30/06/2021,30/06/2018,1800000,Sampdoria,Serie A
Forward,20,NA,30/06/2018,450000,Sampdoria,Serie A
Forward,18,NA,30/06/2018,405000,Sampdoria,Serie A
Forward,18,NA,30/06/2018,248000,Sampdoria,Serie A
Defender,25,30/06/2021,30/06/2018,3600000,Sassuolo,Serie A
Defender,19,NA,30/06/2018,405000,Sassuolo,Serie A
Defender,21,30/06/2020,30/06/2018,225000,Sassuolo,Serie A
Defender,28,NA,30/06/2018,113000,Sassuolo,Serie A
Defender,19,NA,30/06/2018,90000,Sassuolo,Serie A
Defender,20,NA,30/06/2018,90000,Sassuolo,Serie A
Midfield,19,NA,30/06/2018,68000,Sassuolo,Serie A
Midfield,18,NA,30/06/2018,-,Sassuolo,Serie A
Midfield,20,NA,30/06/2018,630000,Sassuolo,Serie A
Midfield,22,30/06/2022,30/06/2018,405000,Sassuolo,Serie A
Midfield,20,NA,30/06/2018,113000,Sassuolo,Serie A
Midfield,19,30/06/2020,30/06/2018,90000,Sassuolo,Serie A
Midfield,20,NA,30/06/2018,68000,Sassuolo,Serie A
Midfield,19,30/06/2020,30/06/2018,68000,Sassuolo,Serie A
Midfield,19,NA,30/06/2018,68000,Sassuolo,Serie A
Midfield,23,NA,30/06/2018,3150000,Sassuolo,Serie A
Forward,26,30/06/2020,30/06/2018,8100000,Sassuolo,Serie A
Forward,24,30/06/2020,30/06/2018,2250000,Sassuolo,Serie A
Forward,21,NA,30/06/2018,450000,Sassuolo,Serie A
Forward,21,NA,30/06/2018,158000,Sassuolo,Serie A
Forward,19,NA,30/06/2018,90000,Sassuolo,Serie A
Keeper,19,30/06/2020,30/06/2018,68000,SPAL,Serie A
Defender,19,NA,30/06/2018,113000,SPAL,Serie A
Defender,19,NA,30/06/2018,68000,SPAL,Serie A
Defender,20,NA,30/06/2018,45000,SPAL,Serie A
Defender,21,NA,30/06/2018,203000,SPAL,Serie A
Midfield,19,NA,30/06/2018,45000,SPAL,Serie A
Midfield,27,NA,30/06/2018,720000,SPAL,Serie A
Midfield,19,NA,30/06/2018,135000,SPAL,Serie A
Midfield,21,30/06/2019,30/06/2018,113000,SPAL,Serie A
Midfield,20,30/06/2020,30/06/2018,68000,SPAL,Serie A
Midfield,19,NA,NA,68000,SPAL,Serie A
Midfield,21,30/06/2020,30/06/2018,45000,SPAL,Serie A
Forward,19,NA,30/06/2018,113000,SPAL,Serie A
Forward,24,30/06/2020,30/06/2018,540000,SPAL,Serie A
Forward,26,30/06/2019,30/06/2018,135000,SPAL,Serie A
Keeper,20,30/06/2019,30/06/2018,450000,Torino,Serie A
Keeper,19,30/06/2019,30/06/2018,113000,Torino,Serie A
Keeper,19,NA,30/06/2018,45000,Torino,Serie A
Defender,23,30/06/2019,30/06/2018,1350000,Torino,Serie A
Defender,31,30/06/2019,31/05/2018,450000,Torino,Serie A
Defender,18,NA,30/06/2018,135000,Torino,Serie A
Defender,20,NA,30/06/2018,45000,Torino,Serie A
Defender,28,30/06/2019,30/06/2018,1350000,Torino,Serie A
Defender,21,NA,30/06/2018,180000,Torino,Serie A
Defender,19,NA,30/06/2018,90000,Torino,Serie A
Defender,20,NA,30/06/2018,90000,Torino,Serie A
Midfield,21,30/06/2020,30/06/2018,1980000,Torino,Serie A
Midfield,21,NA,30/06/2018,90000,Torino,Serie A
Midfield,19,NA,30/06/2018,90000,Torino,Serie A
Midfield,18,NA,30/06/2018,113000,Torino,Serie A
Midfield,19,30/06/2021,30/06/2018,113000,Torino,Serie A
Midfield,20,30/06/2018,30/06/2018,90000,Torino,Serie A
Midfield,20,30/06/2020,30/06/2018,68000,Torino,Serie A
Midfield,20,30/06/2020,30/06/2018,68000,Torino,Serie A
Midfield,18,NA,30/06/2018,23000,Torino,Serie A
Forward,19,NA,30/06/2018,-,Torino,Serie A
Midfield,20,NA,30/06/2018,158000,Torino,Serie A
Midfield,19,NA,30/06/2018,90000,Torino,Serie A
Midfield,21,30/06/2020,30/06/2018,1080000,Torino,Serie A
Midfield,22,30/06/2019,30/06/2018,360000,Torino,Serie A
Midfield,20,30/06/2020,30/06/2018,68000,Torino,Serie A
Forward,23,30/06/2018,30/06/2018,360000,Torino,Serie A
Forward,19,30/06/2018,30/06/2018,113000,Udinese,Serie A
Keeper,32,30/06/2019,30/06/2018,3600000,Udinese,Serie A
